Animal,Session,Type,nTrial,Flavour,CS1,CS2,Date
81,37,6,400,Ribena,LFLS,HFHS,10-Jun-2019
81,38,6,400,Ribena,HFHS,LFLS,11-Jun-2019
81,41,2,408,Ribena,HFLS,HFHS,17-Jun-2019
81,67,6,562,Ribena,LFLS,HFHS,12-Sep-2019
81,68,6,421,Ribena,LFLS,HFHS,13-Sep-2019
81,69,4,432,Ribena,LFHS,HFHS,17-Sep-2019
81,70,4,454,Ribena,HFHS,LFHS,19-Sep-2019
81,74,2,407,Ribena,HFLS,HFHS,27-Sep-2019
81,77,1,350,Ribena,LFLS,LFHS,21-Oct-2019
81,90,3,400,Ribena,HFLS,LFLS,13-Dec-2019
81,29,1,460,Peach,LFLS,LFHS,08-May-2019
81,30,2,546,Peach,HFLS,HFHS,10-May-2019
81,31,1,605,Peach,LFHS,LFLS,14-May-2019
81,32,5,312,Peach,HFLS,LFHS,20-May-2019
81,33,4,503,Peach,LFHS,HFHS,21-May-2019
81,34,1,457,Peach,LFLS,LFHS,22-May-2019
81,35,1,482,Peach,LFHS,LFLS,28-May-2019
81,36,5,296,Peach,LFHS,HFLS,30-May-2019
81,39,6,441,Peach,LFLS,HFHS,12-Jun-2019
81,40,6,400,Peach,HFHS,LFLS,13-Jun-2019
81,42,4,400,Peach,LFHS,HFHS,26-Jun-2019
81,43,4,281,Peach,LFHS,HFHS,27-Jun-2019
81,52,2,448,Peach,HFLS,HFHS,22-Jul-2019
81,71,2,528,Peach,HFLS,HFHS,24-Sep-2019
81,72,4,406,Peach,HFHS,LFHS,25-Sep-2019
81,73,4,450,Peach,HFHS,LFHS,26-Sep-2019
81,75,3,453,Peach,HFLS,LFLS,30-Sep-2019
81,78,3,465,Peach,LFLS,HFLS,23-Oct-2019
